0	0.26943
0.00666667	0.538843
0.0133333	0.808226
0.02	1.07756
0.0266667	1.34683
0.0333333	1.61603
0.04	1.88513
0.0466667	2.15412
0.0533333	2.42298
0.06	2.6917
0.0666667	2.96026
0.0733333	3.22866
0.08	3.49686
0.0866667	3.76486
0.0933333	4.03264
0.1	4.30018
0.106667	4.56747
0.113333	4.8345
0.12	5.10124
0.126667	5.36769
0.133333	5.63382
0.14	5.89963
0.146667	6.16509
0.153333	6.43019
0.16	6.69491
0.166667	6.95925
0.173333	7.22318
0.18	7.48668
0.186667	7.74975
0.193333	8.01237
0.2	8.27452
0.206667	8.53619
0.213333	8.79737
0.22	9.05802
0.226667	9.31816
0.233333	9.57774
0.24	9.83677
0.246667	10.0952
0.253333	10.3531
0.26	10.6104
0.266667	10.867
0.273333	11.123
0.28	11.3784
0.286667	11.6331
0.293333	11.8871
0.3	12.1405
0.306667	12.3931
0.313333	12.645
0.32	12.8962
0.326667	13.1466
0.333333	13.3963
0.34	13.6452
0.346667	13.8932
0.353333	14.1405
0.36	14.387
0.366667	14.6326
0.373333	14.8774
0.38	15.1213
0.386667	15.3643
0.393333	15.6065
0.4	15.8477
0.406667	16.088
0.413333	16.3274
0.42	16.5659
0.426667	16.8034
0.433333	17.0399
0.44	17.2754
0.446667	17.5099
0.453333	17.7434
0.46	17.9759
0.466667	18.2073
0.473333	18.4377
0.48	18.667
0.486667	18.8953
0.493333	19.1224
0.5	19.3485
0.506667	19.5734
0.513333	19.7972
0.52	20.0199
0.526667	20.2414
0.533333	20.4617
0.54	20.6808
0.546667	20.8988
0.553333	21.1156
0.56	21.3311
0.566667	21.5454
0.573333	21.7585
0.58	21.9703
0.586667	22.1809
0.593333	22.3901
0.6	22.5981
0.606667	22.8048
0.613333	23.0102
0.62	23.2143
0.626667	23.417
0.633333	23.6184
0.64	23.8184
0.646667	24.0171
0.653333	24.2144
0.66	24.4103
0.666667	24.6048
0.673333	24.7979
0.68	24.9896
0.686667	25.1799
0.693333	25.3687
0.7	25.556
0.706667	25.7419
0.713333	25.9264
0.72	26.1093
0.726667	26.2908
0.733333	26.4708
0.74	26.6492
0.746667	26.8262
0.753333	27.0016
0.76	27.1755
0.766667	27.3478
0.773333	27.5186
0.78	27.6878
0.786667	27.8554
0.793333	28.0215
0.8	28.186
0.806667	28.3489
0.813333	28.5101
0.82	28.6698
0.826667	28.8278
0.833333	28.9842
0.84	29.139
0.846667	29.2921
0.853333	29.4436
0.86	29.5934
0.866667	29.7415
0.873333	29.8879
0.88	30.0327
0.886667	30.1758
0.893333	30.3172
0.9	30.4569
0.906667	30.5948
0.913333	30.7311
0.92	30.8656
0.926667	30.9984
0.933333	31.1294
0.94	31.2587
0.946667	31.3863
0.953333	31.5121
0.96	31.6361
0.966667	31.7584
0.973333	31.8789
0.98	31.9976
0.986667	32.1146
0.993333	32.2297
1	32.3431
1.00667	32.4546
1.01333	32.5644
1.02	32.6723
1.02667	32.7784
1.03333	32.8827
1.04	32.9852
1.04667	33.0859
1.05333	33.1847
1.06	33.2817
1.06667	33.3768
1.07333	33.4701
1.08	33.5616
1.08667	33.6512
1.09333	33.7389
1.1	33.8248
1.10667	33.9089
1.11333	33.991
1.12	34.0713
1.12667	34.1498
1.13333	34.2263
1.14	34.301
1.14667	34.3738
1.15333	34.4448
1.16	34.5138
1.16667	34.581
1.17333	34.6463
1.18	34.7097
1.18667	34.7712
1.19333	34.8308
1.2	34.8885
1.20667	34.9444
1.21333	34.9983
1.22	35.0503
1.22667	35.1005
1.23333	35.1487
1.24	35.1951
1.24667	35.2395
1.25333	35.2821
1.26	35.3227
1.26667	35.3615
1.27333	35.3983
1.28	35.4333
1.28667	35.4663
1.29333	35.4975
1.3	35.5267
1.30667	35.5541
1.31333	35.5795
1.32	35.6031
1.32667	35.6248
1.33333	35.6445
1.34	35.6624
1.34667	35.6784
1.35333	35.6925
1.36	35.7047
1.36667	35.715
1.37333	35.7234
1.38	35.73
1.38667	35.7346
1.39333	35.7374
1.4	35.7383
1.40667	35.7373
1.41333	35.7345
1.42	35.7298
1.42667	35.7232
1.43333	35.7148
1.44	35.7044
1.44667	35.6923
1.45333	35.6783
1.46	35.6624
1.46667	35.6447
1.47333	35.6251
1.48	35.6037
1.48667	35.5804
1.49333	35.5553
1.5	35.5284
1.50667	35.4997
1.51333	35.4691
1.52	35.4368
1.52667	35.4026
1.53333	35.3666
1.54	35.3288
1.54667	35.2892
1.55333	35.2478
1.56	35.2046
1.56667	35.1596
1.57333	35.1129
1.58	35.0644
1.58667	35.0141
1.59333	34.9621
1.6	34.9083
1.60667	34.8527
1.61333	34.7954
1.62	34.7364
1.62667	34.6756
1.63333	34.6131
1.64	34.5489
1.64667	34.483
1.65333	34.4154
1.66	34.3461
1.66667	34.275
1.67333	34.2023
1.68	34.1279
1.68667	34.0519
1.69333	33.9742
1.7	33.8948
1.70667	33.8138
1.71333	33.7311
1.72	33.6468
1.72667	33.5608
1.73333	33.4733
1.74	33.3841
1.74667	33.2933
1.75333	33.201
1.76	33.107
1.76667	33.0115
1.77333	32.9144
1.78	32.8157
1.78667	32.7155
1.79333	32.6137
1.8	32.5104
1.80667	32.4056
1.81333	32.2992
1.82	32.1914
1.82667	32.082
1.83333	31.9712
1.84	31.8588
1.84667	31.745
1.85333	31.6297
1.86	31.513
1.86667	31.3948
1.87333	31.2752
1.88	31.1542
1.88667	31.0317
1.89333	30.9078
1.9	30.7826
1.90667	30.6559
1.91333	30.5279
1.92	30.3985
1.92667	30.2678
1.93333	30.1357
