0	2.84156
0.00666667	3.74588
0.0133333	2.84085
0.02	2.83996
0.0266667	2.83871
0.0333333	2.83711
0.04	2.83516
0.0466667	2.83285
0.0533333	2.83018
0.06	2.82716
0.0666667	2.82379
0.0733333	2.82006
0.08	2.81599
0.0866667	2.81156
0.0933333	2.80678
0.1	2.80165
0.106667	2.79616
0.113333	2.79034
0.12	2.78416
0.126667	2.77763
0.133333	2.77076
0.14	2.76355
0.146667	2.75599
0.153333	2.74809
0.16	2.73985
0.166667	2.73126
0.173333	2.72234
0.18	2.71308
0.186667	2.70349
0.193333	2.69356
0.2	2.6833
0.206667	2.6727
0.213333	2.66178
0.22	2.65053
0.226667	2.63895
0.233333	2.62705
0.24	2.61483
0.246667	2.60228
0.253333	2.58942
0.26	2.57624
0.266667	2.56274
0.273333	2.54893
0.28	2.53482
0.286667	2.52039
0.293333	2.50566
0.3	2.49062
0.306667	2.47528
0.313333	2.45964
0.32	2.44371
0.326667	2.42748
0.333333	2.41096
0.34	2.39414
0.346667	2.37705
0.353333	2.35966
0.36	2.342
0.366667	2.32406
0.373333	2.30584
0.38	2.28735
0.386667	2.26859
0.393333	2.24955
0.4	2.23026
0.406667	2.2107
0.413333	2.19089
0.42	2.17081
0.426667	2.15049
0.433333	2.12991
0.44	2.10909
0.446667	2.08803
0.453333	2.06672
0.46	2.04518
0.466667	2.0234
0.473333	2.0014
0.48	1.97916
0.486667	1.95671
0.493333	1.93403
0.5	1.91113
0.506667	1.88802
0.513333	1.8647
0.52	1.84118
0.526667	1.81745
0.533333	1.79352
0.54	1.76939
0.546667	1.74507
0.553333	1.72057
0.56	1.69587
0.566667	1.671
0.573333	1.64595
0.58	1.62072
0.586667	1.59532
0.593333	1.56976
0.6	1.54404
0.606667	1.51815
0.613333	1.49211
0.62	1.46592
0.626667	1.43958
0.633333	1.4131
0.64	1.38647
0.646667	1.35971
0.653333	1.33282
0.66	1.3058
